city,tier,model,q,coverage,width
mexico_city,rich,chronos,13.851325988769531,0.8611111111111112,27.702651977539062
mexico_city,rich,chronos_cov,17.016632084921085,0.9305555555555556,34.03326416984217
mexico_city,rich,nas_gru,22.465309143066406,1.0,44.93061828613281
mumbai,scarce,seasonal_naive,80.0,1.0,160.0
mumbai,scarce,lgbm_direct,72.21800044798677,1.0,144.43600089597354
mumbai,scarce,chronos,71.60457611083984,1.0,143.2091522216797
mumbai,scarce,chronos_cov,71.97189649126048,1.0,143.94379298252096
mumbai,scarce,nas_gru,58.095703125,1.0,116.19140625
nairobi,scarce,seasonal_naive,26.0,1.0,52.0
nairobi,scarce,lgbm_direct,18.730171924207276,1.0,37.46034384841455
nairobi,scarce,chronos,14.933633804321289,1.0,29.867267608642578
nairobi,scarce,chronos_cov,15.421062066500859,1.0,30.842124133001718
nairobi,scarce,nas_gru,15.67074966430664,0.9861111111111112,31.34149932861328
new_york,rich,seasonal_naive,10.700000000000001,1.0,21.400000000000002
new_york,rich,lgbm_direct,4.924210710243465,0.8055555555555556,9.84842142048693
new_york,rich,chronos,6.151936340332032,0.9583333333333334,12.303872680664064
new_york,rich,chronos_cov,6.816930128079793,0.9861111111111112,13.633860256159586
new_york,rich,nas_gru,5.773248481750488,0.8055555555555556,11.546496963500976
paris,rich,seasonal_naive,23.6,1.0,47.2
paris,rich,lgbm_direct,16.606895645032907,1.0,33.213791290065814
paris,rich,chronos,19.435530281066896,1.0,38.87106056213379
paris,rich,chronos_cov,16.849091255976354,0.9166666666666666,33.69818251195271
paris,rich,nas_gru,12.46689853668213,0.875,24.93379707336426
santiago,rich,seasonal_naive,15.0,1.0,30.0
santiago,rich,lgbm_direct,13.245965978425726,1.0,26.491931956851452
santiago,rich,chronos,13.20459270477295,1.0,26.4091854095459
santiago,rich,chronos_cov,12.790001277207994,0.9861111111111112,25.580002554415987
santiago,rich,nas_gru,13.545671463012695,1.0,27.09134292602539
seoul,rich,seasonal_naive,19.0,1.0,38.0
seoul,rich,lgbm_direct,8.817983289135114,0.9722222222222222,17.635966578270228
seoul,rich,chronos,7.395105361938477,0.9583333333333334,14.790210723876953
seoul,rich,chronos_cov,7.6577165688864,0.9166666666666666,15.3154331377728
seoul,rich,nas_gru,7.216361045837402,0.8333333333333334,14.432722091674805
sydney,rich,seasonal_naive,6.9,0.9305555555555556,13.8
sydney,rich,lgbm_direct,6.0904034075856215,0.9583333333333334,12.180806815171243
sydney,rich,chronos,4.922259521484375,0.9722222222222222,9.84451904296875
sydney,rich,chronos_cov,7.088813623541921,1.0,14.177627247083842
sydney,rich,nas_gru,5.28286828994751,0.9583333333333334,10.56573657989502
toronto,rich,seasonal_naive,9.0,1.0,18.0
toronto,rich,lgbm_direct,5.126410702852153,0.7916666666666666,10.252821405704307
toronto,rich,chronos,7.579113960266113,1.0,15.158227920532227
toronto,rich,chronos_cov,5.657795823992458,0.8888888888888888,11.315591647984917
toronto,rich,nas_gru,4.8013105392456055,0.8055555555555556,9.602621078491211
vienna,rich,seasonal_naive,11.190000000000001,1.0,22.380000000000003
vienna,rich,lgbm_direct,1.9784218197909373,0.9861111111111112,3.9568436395818747
vienna,rich,chronos,2.2511914443969725,0.9722222222222222,4.502382888793945
vienna,rich,chronos_cov,3.2593262136455516,1.0,6.518652427291103
vienna,rich,nas_gru,2.2167579078674318,0.9305555555555556,4.4335158157348635
