city,strategy,fraction,seed,MASE,n_train_hours
karachi,nas_transfer,1.0,46,0.29883217917960303,50
karachi,lgbm_refit,10.0,,0.2901078601469011,507
karachi,nas_transfer,10.0,42,0.26474626776683763,507
karachi,nas_transfer,10.0,43,0.28881008563972327,507
karachi,nas_transfer,10.0,44,0.27632133153625826,507
karachi,nas_transfer,10.0,45,0.2532752592367621,507
karachi,nas_transfer,10.0,46,0.2672773598091292,507
karachi,lgbm_refit,100.0,,0.28254071937385916,5070
karachi,nas_transfer,100.0,42,0.2700161156520565,5070
karachi,nas_transfer,100.0,43,0.2798745035156288,5070
karachi,nas_transfer,100.0,44,0.2634323111808933,5070
karachi,nas_transfer,100.0,45,0.2679959799787232,5070
karachi,nas_transfer,100.0,46,0.26619975083342085,5070
lagos,chronos_zeroshot,,,0.548500341380229,3234
lagos,nas_transfer,0.0,,0.682271495782982,0
lagos,nas_transfer,1.0,42,0.6747740169460607,49
lagos,nas_transfer,1.0,43,0.6747740169460607,49
lagos,nas_transfer,1.0,44,0.6747740169460607,49
lagos,nas_transfer,1.0,45,0.6747740169460607,49
lagos,nas_transfer,1.0,46,0.6747740169460607,49
lagos,lgbm_refit,10.0,,0.6755993929853911,323
lagos,nas_transfer,10.0,42,0.7983952409823095,323
lagos,nas_transfer,10.0,43,0.7947588251832068,323
lagos,nas_transfer,10.0,44,0.7721052027779651,323
lagos,nas_transfer,10.0,45,0.7641986186559511,323
lagos,nas_transfer,10.0,46,0.7898310065558034,323
lagos,lgbm_refit,100.0,,0.5292610800851705,3234
lagos,nas_transfer,100.0,42,0.6682276043108651,3234
lagos,nas_transfer,100.0,43,0.6663966744667915,3234
lagos,nas_transfer,100.0,44,0.6703113821471459,3234
lagos,nas_transfer,100.0,45,0.662095353451742,3234
lagos,nas_transfer,100.0,46,0.6804137506220147,3234
lahore,chronos_zeroshot,,,0.651731163440451,5419
lahore,nas_transfer,0.0,,0.6847157353273566,0
lahore,nas_transfer,1.0,42,1.0094472096349627,54
lahore,nas_transfer,1.0,43,1.0094473263900225,54
lahore,nas_transfer,1.0,44,1.0094483032686878,54
lahore,nas_transfer,1.0,45,1.009448383905276,54
lahore,nas_transfer,1.0,46,1.0094473389894894,54
lahore,lgbm_refit,10.0,,0.8036110964852082,541
lahore,nas_transfer,10.0,42,0.6092236759357802,541
lahore,nas_transfer,10.0,43,0.6314732399720655,541
lahore,nas_transfer,10.0,44,0.628566048223797,541
lahore,nas_transfer,10.0,45,0.6318819431586459,541
lahore,nas_transfer,10.0,46,0.6267096746923561,541
lahore,lgbm_refit,100.0,,0.6671104119478891,5419
lahore,nas_transfer,100.0,42,0.7057832131811436,5419
lahore,nas_transfer,100.0,43,0.6349371458841397,5419
lahore,nas_transfer,100.0,44,0.6995219131549439,5419
lahore,nas_transfer,100.0,45,0.6649499487152304,5419
lahore,nas_transfer,100.0,46,0.684224711424005,5419
lima,chronos_zeroshot,,,0.6144291726742531,5083
lima,nas_transfer,0.0,,0.6533708255218725,0
lima,nas_transfer,1.0,42,0.7408318614963013,50
lima,nas_transfer,1.0,43,0.7408338546918695,50
lima,nas_transfer,1.0,44,0.7408337229023941,50
lima,nas_transfer,1.0,45,0.740833948964633,50
lima,nas_transfer,1.0,46,0.7408350052043693,50
lima,lgbm_refit,10.0,,0.7060290904115464,508
lima,nas_transfer,10.0,42,0.6242339654453684,508
lima,nas_transfer,10.0,43,0.618938905204032,508
lima,nas_transfer,10.0,44,0.589643286523344,508
lima,nas_transfer,10.0,45,0.6075172064073118,508
lima,nas_transfer,10.0,46,0.5908866192163407,508
lima,lgbm_refit,100.0,,0.5711695881090104,5083
lima,nas_transfer,100.0,42,0.5351120657873207,5083
lima,nas_transfer,100.0,43,0.5608146481683473,5083
lima,nas_transfer,100.0,44,0.5434795057846781,5083
lima,nas_transfer,100.0,45,0.5513700581584886,5083
lima,nas_transfer,100.0,46,0.5982989349041212,5083
manila,chronos_zeroshot,,,0.9352322065439777,10848
manila,nas_transfer,0.0,,0.9588526217472276,0
manila,nas_transfer,1.0,42,0.9301440503684515,108
