city,tier,variable,lead_day,lead_hours_mid,n,mae,rmse,bias,sd,err_ar1,actual_sd
dhaka,scarce,wind_speed_10m,2,60,3036,3.845586297760211,4.683642659714751,-3.337747035573123,3.285719600091082,0.6085901520083306,4.059548609595241
dhaka,scarce,wind_speed_10m,3,84,3012,3.7865869853917666,4.596282203364094,-3.1743691899070385,3.3240322409884078,0.6056251379137343,4.067483286490222
dhaka,scarce,wind_direction_10m,1,36,3060,40.27418300653595,57.844339801391314,1.4892156862745098,57.82516652547208,0.3726555583731002,95.64223550389936
dhaka,scarce,wind_direction_10m,2,60,3036,42.29973649538867,60.170218582086555,-0.42555994729907776,60.16871365541504,0.4746548026017129,95.43152862220582
dhaka,scarce,wind_direction_10m,3,84,3012,42.54448871181939,59.97893056360529,-2.4760956175298805,59.92779874187466,0.3874391619306283,95.19727548692934
dhaka,scarce,precipitation,1,36,3060,0.09921568627450982,0.576296492318688,0.01549019607843137,0.5760882752532595,0.3155137207349009,0.43724046206507494
dhaka,scarce,precipitation,2,60,3036,0.11781949934123846,0.6433172224869727,0.024999999999999998,0.6428312754901967,0.25850389276028274,0.43894193674500276
dhaka,scarce,precipitation,3,84,3012,0.16201859229747675,1.476192205065052,0.06905710491367861,1.4745760551954457,0.2640034852402583,0.44066342549718723
dhaka,scarce,cloud_cover,1,36,3060,30.626470588235293,42.74999904445208,16.485294117647058,39.44359892498813,0.6342170433659167,39.27491928560041
dhaka,scarce,cloud_cover,2,60,3036,31.213109354413703,43.29258624424527,14.44828722002635,40.81047684263244,0.6589202096814176,39.2954265082809
dhaka,scarce,cloud_cover,3,84,3012,31.395086321381143,43.5601353506422,15.586985391766268,40.675929960642975,0.6611336537912927,39.2214062627392
dhaka,scarce,shortwave_radiation,1,36,3060,35.855228758169936,71.17278754042523,12.162418300653595,70.12589583994229,0.6752428101756393,290.6158391770926
dhaka,scarce,shortwave_radiation,2,60,3036,37.401185770750985,76.3115191687288,16.37878787878788,74.53310181027577,0.7197449641260674,290.9464844843916
dhaka,scarce,shortwave_radiation,3,84,3012,40.76460823373174,85.29200487512021,12.75730411686587,84.33253990772084,0.7478267130090117,291.3537074357935
dhaka,scarce,temperature_2m,1,36,9012,1.7385707944962272,2.262157566908924,1.3024411895250776,1.8495955788636074,0.8577841055863623,5.286684600014105
dhaka,scarce,temperature_2m,2,60,8988,1.7523475745438364,2.3235355198428786,1.2755785491766802,1.9420908003622883,0.8677738710296895,5.268342116902458
dhaka,scarce,temperature_2m,3,84,8964,1.8384315037929497,2.4036398195179607,1.3208500669344043,2.008193088986145,0.8710711436111771,5.24430791006498
lagos,scarce,temperature_2m,1,36,3408,1.4240610328638499,1.7341333022173222,1.2160211267605634,1.2363296199360123,0.843684473508426,1.6666979308381547
lagos,scarce,temperature_2m,2,60,3408,1.313468309859155,1.6488303223573015,1.0556044600938967,1.2666256967844745,0.8451872758617228,1.6666979308381547
lagos,scarce,temperature_2m,3,84,3408,1.3227699530516432,1.6692187034095343,1.0550469483568075,1.2935095734377828,0.8599340462259367,1.6666979308381547
lahore,scarce,relative_humidity_2m,1,36,5592,7.071351931330472,9.34357513376976,-2.706902718168813,8.942878393155688,0.8760070423110274,15.867849736579892
lahore,scarce,relative_humidity_2m,2,60,5592,8.25035765379113,10.722854738077244,-2.76931330472103,10.359078991599622,0.9018117886553072,15.867849736579892
lahore,scarce,relative_humidity_2m,3,84,5592,8.896459227467812,11.355462595518777,-3.3327968526466383,10.855367147048261,0.9118492508925571,15.867849736579892
lahore,scarce,surface_pressure,1,36,5592,0.643437052932761,0.8039434726995035,0.33961015736766775,0.7286906396467882,0.8672932966218346,7.032287549371854
lahore,scarce,surface_pressure,2,60,5592,0.7574928469241783,0.9496451035011555,0.5027360515021458,0.8056564311936895,0.901964240843751,7.032287549371854
lahore,scarce,surface_pressure,3,84,5592,0.9058476394849788,1.1779849007195804,0.7140379113018589,0.936908900345705,0.9256559460995476,7.032287549371854
lahore,scarce,wind_speed_10m,1,36,5592,2.5560622317596566,3.41151667067267,-1.2623569384835478,3.1693691729017597,0.7422212215388221,3.5025597692845425
lahore,scarce,wind_speed_10m,2,60,5592,2.6012339055793987,3.4453953742193972,-1.2616773962804004,3.206075394061644,0.7511121329010444,3.5025597692845425
lahore,scarce,wind_speed_10m,3,84,5592,2.656294706723891,3.523125624085824,-1.3829041487839773,3.2403688491229192,0.7554831134017833,3.5025597692845425
