domain,city,model_a,model_b,n_obs,mean_loss_diff,dm_p,dm_significant,mbb12_lo,mbb12_hi,mbb12_significant,mbb24_lo,mbb24_hi,mbb24_significant,mbb48_lo,mbb48_hi,mbb48_significant,fold_mean_diff,fold_t_p,fold_sign_p,fold_n_favouring_a,fold_significant
pm25,karachi,lgbm_direct,chronos,144,1.007192459820336,0.1646519283427122,False,0.10851556311730715,2.417758858130529,True,0.6801847146179971,2.426744348017364,True,1.005383921532933,2.1094068113888795,True,1.007192459820336,0.16440213027488554,0.21875,1,False
pm25,krakow,lgbm_direct,chronos,144,-1.9997516830761397,0.5669144041306853,False,-7.111784586313566,1.8398886133904477,False,-7.7663702393012874,3.0146517279447704,False,-5.73868603403296,3.3101605475251774,False,-1.9997516830761395,0.5285639677675711,0.6875,2,False
pm25,lagos,lgbm_direct,chronos,144,0.4025269582449052,0.2555331524405029,False,-0.1685033318142865,0.8813259998481301,False,-0.20793006384127635,0.948996895813178,False,-0.3326362923803235,0.7439838099523617,False,0.4025269582449052,0.28048878694719004,0.6875,2,False
pm25,lahore,lgbm_direct,chronos,144,2.9879413839407483,0.5479795650849731,False,-6.283347260357585,11.874722281467186,False,-6.349525234556038,7.971523394996963,False,-5.969910587633142,5.503332541907363,False,2.9879413839407487,0.5864091914653742,0.6875,2,False
pm25,lima,lgbm_direct,chronos,144,0.031135442676196452,0.9590977397194151,False,-1.006962467035363,1.0921362241167452,False,-0.9096038875894059,0.8192683233438496,False,-0.9365848307413015,0.6989374466286596,False,0.031135442676196428,0.9626094933879035,0.6875,2,False
pm25,los_angeles,lgbm_direct,chronos,144,0.6992439977320861,0.3680594731305723,False,-0.4972561513654645,2.592662663506136,False,-0.39598416795865193,2.27688166924333,False,-0.04604618559070032,1.9433250932613746,False,0.6992439977320862,0.3933491530722653,0.6875,2,False
pm25,madrid,lgbm_direct,chronos,144,-1.7371261432566718,0.03702225337604314,True,-3.0646000145159067,-0.5475130309201239,True,-3.2581478048020593,-0.36305856028606953,True,-2.715962558325099,-0.7482859973893378,True,-1.737126143256672,0.08941303602594565,0.03125,6,False
pm25,manila,lgbm_direct,chronos,144,-0.4304220404901268,0.7215783864798492,False,-2.697918511605292,1.2954526917471743,False,-2.5705670274810464,1.192208940739523,False,-2.3694514684633563,0.9806939928687334,False,-0.4304220404901267,0.7874031176642228,0.6875,4,False
pm25,mexico_city,lgbm_direct,chronos,144,3.3894495760053247,0.05652660386073674,False,1.2170555585442806,6.658283406083183,True,1.0099943289331625,6.755677420541473,True,0.553914226664869,7.499993424679138,True,3.3894495760053247,0.10930023097387788,0.03125,0,False
pm25,mumbai,lgbm_direct,chronos,144,4.136082543064383,0.01510985542516033,True,1.4208387718212079,7.866664464192102,True,1.646832256016527,7.631472454701381,True,3.235789594572966,6.804971284709477,True,4.136082543064384,0.037388017356500866,0.03125,0,True
pm25,nairobi,lgbm_direct,chronos,144,0.17561543852453046,0.5009888844945936,False,-0.25074132401067883,0.5958098460195587,False,-0.2710226363329049,0.6159471085579538,False,-0.1557667712779153,0.5467065387285699,False,0.17561543852453051,0.4640014436042096,0.6875,2,False
pm25,new_york,lgbm_direct,chronos,144,0.46582772072144707,0.33785056303113603,False,-0.338310628119706,1.05815835700275,False,-0.38392620355949564,1.2113321528951502,False,0.09112141597181557,1.1993485043291876,True,0.465827720721447,0.24034102199889804,0.21875,1,False
pm25,paris,lgbm_direct,chronos,144,0.2155996630951701,0.8293721702977853,False,-1.00224768682052,1.9478424883033092,False,-1.0207595961811589,2.3515863240769814,False,-0.9482085264708933,2.1677360928427416,False,0.2155996630951702,0.8393665939453284,0.21875,5,False
pm25,santiago,lgbm_direct,chronos,144,0.25286430130773874,0.7006075090179111,False,-0.5536658201599806,1.3119806734894692,False,-0.30422245079329036,1.3843901069098463,False,0.189376878643081,1.2901823562459092,True,0.25286430130773874,0.679183609491113,0.21875,1,False
pm25,seoul,lgbm_direct,chronos,144,0.37293473406892064,0.16288770556294407,False,0.013650874554922567,0.8771662499762911,True,-0.07324194372728822,0.8589018016216157,False,-0.03685022860931361,0.8010791193531277,False,0.3729347340689207,0.16598322100092738,0.21875,1,False
pm25,sydney,lgbm_direct,chronos,144,1.7035270189565388,0.19357736115349888,False,0.20823217402619812,3.912897353675836,True,-0.07390459134322301,4.336862819952812,False,-0.0013969067135075116,3.375941708011498,False,1.703527018956539,0.1845165495523543,0.21875,1,False
pm25,toronto,lgbm_direct,chronos,144,-0.024627318820012196,0.9048096017300586,False,-0.4101023755797901,0.317842273750493,False,-0.37654110200212304,0.30736629105191904,False,-0.160382126666929,0.29426834007411223,False,-0.024627318820012234,0.9117439683126451,1.0,3,False
pm25,vienna,lgbm_direct,chronos,144,0.14123529754395145,0.14822538727660126,False,-0.0441418362679937,0.32242346605252975,False,-0.012863468534810503,0.3184131929260329,False,0.029433276164001487,0.19663710761274403,True,0.14123529754395145,0.12734473350840703,0.21875,1,False
