series,model,n_hours,mean_load,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,per_forecast_ms,usd_per_1k,measured_usd_per_1k,energy_source
pm25:Huairou,seasonal_naive,34674,69.5817584078323,54.30671296296296,75.11257112527424,1.043009322328644,3.5852695021362573,306.32144554062563,0.0001722222198926223,6.530092504261928e-10,,tdp_proxy
pm25:Huairou,lgbm_direct,34674,69.5817584078323,20.225648768256228,25.395838975045955,0.388451796554566,1.2121929204971431,103.5684172304338,4.505745138885686,1.7084283651608225e-05,,tdp_proxy
pm25:Huairou,chronos,34674,69.5817584078323,8.280809534920586,11.982324416543179,0.15904040348088236,0.5719397119782462,48.86589396721093,1.5316173612518469,2.680330382190732e-05,,tdp_proxy
pm25:Huairou,chronos_cov,34674,69.5817584078323,16.481690832372735,23.40589953919727,0.316545713190692,1.117209230502728,95.45311621762694,2.376863888962867,4.159511805685017e-05,,tdp_proxy
pm25:Nongzhanguan,seasonal_naive,34990,85.18645428541215,73.17708333333333,95.36906563742541,1.1621851041669455,3.3567754151233,319.375475623006,0.00011527774606495061,4.3709478716293777e-10,,tdp_proxy
pm25:Nongzhanguan,lgbm_direct,34990,85.18645428541215,24.278465894614254,29.354931772400192,0.38558617164634973,1.0332272066168369,98.30488779594482,4.424738194352863,1.6777132320254602e-05,,tdp_proxy
pm25:Nongzhanguan,chronos,34990,85.18645428541215,12.488392326566908,17.322508253381468,0.19833837146550454,0.6097131123658887,58.0102601973705,1.533726388818953,2.684021180433168e-05,,tdp_proxy
pm25:Nongzhanguan,chronos_cov,34990,85.18645428541215,16.621384364484864,22.930713240816626,0.26397779795410925,0.8071092438994096,76.79122573668823,2.1399534722756166,3.744918576482329e-05,,tdp_proxy
pm25:Shunyi,seasonal_naive,34734,79.79882949313983,67.03703703703704,87.8974044196056,1.1161672235683058,3.2596714673192095,297.8871790167853,0.00016597217230203873,6.293111533118969e-10,,tdp_proxy
pm25:Shunyi,lgbm_direct,34734,79.79882949313983,27.500333067689002,33.61266723236247,0.45788077403253297,1.2465243204995984,113.9144288411437,4.498348610973658,1.7056238483275117e-05,,tdp_proxy
pm25:Shunyi,chronos,34734,79.79882949313983,17.82876910103692,25.022406490469507,0.2968491536424911,0.92795486987615,84.80175416868931,1.3953583333608952,2.4418770833815664e-05,,tdp_proxy
pm25:Shunyi,chronos_cov,34734,79.79882949313983,21.488828925011532,30.558826259474078,0.35778918011714883,1.1332727591959946,103.56486188195498,2.190086111012432,3.832650694271756e-05,,tdp_proxy
pm25:Tiantan,seasonal_naive,35032,82.04746041096378,69.74652777777777,89.82163287885993,1.1750040485685211,3.3469307856591404,299.8566160787256,0.00016597227335700559,6.293115364786462e-10,,tdp_proxy
pm25:Tiantan,lgbm_direct,35032,82.04746041096378,24.028591870487364,28.952585898590044,0.40480427669718294,1.078830321411784,96.65404820672231,4.468232638929395,1.6942048755940618e-05,,tdp_proxy
pm25:Tiantan,chronos,35032,82.04746041096378,12.250459406110975,18.31466892011982,0.20638073116509978,0.6824406022608671,61.140890796273425,1.5056611108674487,2.6349069440180353e-05,,tdp_proxy
pm25:Tiantan,chronos_cov,35032,82.04746041096378,15.964316418375152,22.79256051601012,0.26894724399737535,0.8492956543989463,76.08968851989006,2.555219444527918,4.471634027923857e-05,,tdp_proxy
pm25:Wanliu,seasonal_naive,35044,83.46587297057847,67.80902777777777,89.86421405427521,1.1359879937769444,4.2505747823939615,367.521920585505,0.00017916661616052606,6.79340086275328e-10,,tdp_proxy
pm25:Wanliu,lgbm_direct,35044,83.46587297057847,22.82839214291214,29.492976746913435,0.38243844870577476,1.3950169657350688,120.61881998169653,4.503549305708374,1.707595778414425e-05,,tdp_proxy
pm25:Wanliu,chronos,35044,83.46587297057847,9.133751445346409,11.949279838610538,0.15301549543019222,0.5652005983059081,48.869534131210386,1.40754166669568,2.4631979167174397e-05,,tdp_proxy
pm25:Wanliu,chronos_cov,35044,83.46587297057847,17.130163066745073,22.163563611601067,0.2869774160313344,1.0483359317932417,90.64337290742839,2.1676243055076663,3.793342534638416e-05,,tdp_proxy
pm25:Wanshouxigong,seasonal_naive,34952,85.0765169994072,74.92361111111111,95.41833453175974,1.198900107376105,3.4300647898004373,312.98952557114814,0.00015972222576642202,6.056134393643501e-10,,tdp_proxy
pm25:Wanshouxigong,lgbm_direct,34952,85.0765169994072,25.353089569973903,30.49592865557269,0.4056908277242665,1.0962569366470052,100.03220333490813,4.350739583363368,1.6496554253586104e-05,,tdp_proxy
pm25:Wanshouxigong,chronos,34952,85.0765169994072,12.972282038794624,18.245140366906444,0.20757769278044813,0.6558699003142019,59.8473852581897,1.3973625000289758,2.4453843750507075e-05,,tdp_proxy
pm25:Wanshouxigong,chronos_cov,34952,85.0765169994072,16.538050180494324,22.606774849546408,0.2646358049638328,0.8126604053916423,74.15434119213401,2.2314819445657323,3.905093402990031e-05,,tdp_proxy
