city,tier,model,n_hours,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,usd_per_1k
jakarta,scarce,chronos_cov,7024,12.550102185336904,15.664685890864604,0.7850897983112479,0.9713964578915804,32.068734266199925,3.3295244784312664e-05
kampala,scarce,seasonal_naive,2836,28.40581349206349,39.64447702181646,1.2466465116294487,1.3037179902959188,78.41850859819299,6.582758773961191e-10
kampala,scarce,lgbm_direct,2836,20.652769871761077,29.61433076808223,0.9063885293519328,0.9738742617710978,58.57844084280928,1.968896643426921e-05
kampala,scarce,nas_gru,2836,19.365648279644198,27.03386166071684,0.8499005979887362,0.8890149257071164,53.47416014383709,3.4877256540413425e-07
kampala,scarce,chronos,2836,18.369427537691024,28.309457367157083,0.806179438124196,0.930963191790062,55.99734421354383,2.848041145928922e-05
kampala,scarce,chronos_cov,2836,20.85279804045843,30.050477512108188,0.9151671696399098,0.9882170504597396,59.44115816854552,3.247291494315302e-05
karachi,scarce,seasonal_naive,5214,8.340277777777779,11.63345139492252,0.3842345908694251,1.335534001275446,50.93393131252182,6.214121707738808e-10
karachi,scarce,lgbm_direct,5214,5.712471844054368,7.853779133838224,0.2631722036526902,0.9016231482538832,34.38565507062038,2.24365397565028e-05
karachi,scarce,nas_gru,5214,5.959122445848253,8.501348015091905,0.2745353375426052,0.9759648229403532,37.2208608748323,7.475416714441963e-07
karachi,scarce,chronos,5214,5.140575706958771,7.978231085994769,0.2368250861930988,0.915910379788861,34.93053439900415,6.440230903839013e-05
karachi,scarce,chronos_cov,5214,6.795906023850964,8.697462809601321,0.3130857556829699,0.9984790336701792,38.07949664282731,3.3864651040858e-05
krakow,rich,seasonal_naive,9344,18.92731481481481,26.22443596241184,1.4573868181726937,1.7119403286990396,146.75346172868854,4.1603019511697947e-10
krakow,rich,lgbm_direct,9344,9.03692795606716,13.57917795952869,0.6958356115913445,0.886453474645497,75.98986593446905,1.9231849420352604e-05
krakow,rich,nas_gru,9344,11.981982429557377,14.713985897636894,0.9226022507294888,0.960534132752302,82.34031684800924,3.90809032574503e-07
krakow,rich,chronos,9344,12.024753567377726,17.679227389921603,0.9258955912306376,1.15410613186984,98.93397989105992,3.501476562430778e-05
krakow,rich,chronos_cov,9344,14.167624070225694,20.406880691674544,1.09089476065626,1.332168291020679,114.19808566636358,4.86065051973128e-05
