series,model,n_hours,mean_load,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,per_forecast_ms,usd_per_1k
pm25:Dongsi,lgbm_direct,34832,86.10748604082896,28.424604789784876,34.396902353518804,0.44990012724549394,1.0081613963580616,87.78685699688437,5.578112500491746,2.1150343231031205e-05
pm25:Dongsi,chronos,34832,86.10748604082896,17.157374501228333,23.87374144551262,0.2715641968776038,0.6997311637144301,60.92992632644456,1.7646812496726245,3.088192186927093e-05
pm25:Dongsi,chronos_cov,34832,86.10748604082896,26.672649273812535,38.23363181398574,0.422170453767407,1.1206146193418678,97.57885561990247,1.9269994797165662,3.372249089503991e-05
pm25:Guanyuan,seasonal_naive,34882,82.99402238366635,89.12109375,111.00961116488072,1.5092761044881429,3.353407300493618,286.5438153282976,0.00017812514367202917,6.753911697564438e-10
pm25:Guanyuan,lgbm_direct,34882,82.99402238366635,25.88214596961454,31.10126728003174,0.4383171570402021,0.9395151974413618,80.28021803201149,5.08478906279682,1.927982519643794e-05
pm25:Guanyuan,chronos,34882,82.99402238366635,18.08671299616496,25.25466046654974,0.3063005915347276,0.762899373228396,65.18865068500723,1.5784109373271349,2.7622191403224854e-05
pm25:Guanyuan,chronos_cov,34882,82.99402238366635,27.257883497684503,41.01658882546261,0.46161543233951724,1.2390398179519564,105.87416468240275,2.0827031251731873,3.644730469053077e-05
pm25:Gucheng,seasonal_naive,34962,84.03609270180642,89.66927083333333,114.75499184126339,1.5026584237709315,3.481518882521018,297.1604077621225,0.00010677104000933468,4.0484019336872726e-10
pm25:Gucheng,lgbm_direct,34962,84.03609270180642,23.967066777732686,31.319413829756403,0.40163496872389676,0.9501907401868572,81.102265227773,4.9640395836831885,1.882198342146542e-05
pm25:Gucheng,chronos,34962,84.03609270180642,16.206909040609997,22.960291446177592,0.2715919084301153,0.6965857165379503,59.45614616853595,1.3879348953196313,2.428886066809355e-05
pm25:Gucheng,chronos_cov,34962,84.03609270180642,31.34703248540974,43.50274573319962,0.5253068524664725,1.3198173629008527,112.65125336535608,1.9585942709454685,3.42753997415457e-05
pm25:Huairou,seasonal_naive,34674,69.5817584078323,71.40972222222221,92.54164321626597,1.3716262134620416,2.7558257498438823,254.39180324322524,0.0001057290622460035,4.008893610160965e-10
pm25:Huairou,lgbm_direct,34674,69.5817584078323,24.162717990403777,31.597332748247233,0.4641135177783265,0.9409465856415621,86.85930113341641,5.329510937675271,2.0207728972018733e-05
pm25:Huairou,chronos,34674,69.5817584078323,12.468005418777466,19.454115975752483,0.23948339987604797,0.5793300387063428,53.47827714717556,1.4490343749760843,2.5358101562081472e-05
pm25:Huairou,chronos_cov,34674,69.5817584078323,19.005464646509893,25.532198890077233,0.36505384276745945,0.7603311191154936,70.18658725599298,2.1010682294217986,3.676869401488147e-05
pm25:Nongzhanguan,seasonal_naive,34990,85.18645428541215,92.0078125,114.34546964964615,1.4606650430902828,3.37911624308762,294.9265203214946,0.00011249994713580236,4.2656229955658397e-10
pm25:Nongzhanguan,lgbm_direct,34990,85.18645428541215,25.551846682150284,31.447439954428685,0.4056469578061031,0.9293289491846642,81.11107564817715,5.235217187873786,1.985019850402144e-05
pm25:Nongzhanguan,chronos,34990,85.18645428541215,15.890968004862467,21.563028014303317,0.25227620171459614,0.6372266294112091,55.6166224979344,1.4092484379943926,2.4661847664901863e-05
pm25:Nongzhanguan,chronos_cov,34990,85.18645428541215,24.55071187414706,35.52375893532382,0.3897534963951907,1.049791576366604,91.62495587832042,2.1406817704701098,3.7461930983226924e-05
pm25:Shunyi,seasonal_naive,34734,79.79882949313983,84.03819444444444,107.46895008085583,1.3991192873337301,2.8238607494373267,253.61404148874533,0.00014947909221518785,5.667748913159206e-10
pm25:Shunyi,lgbm_direct,34734,79.79882949313983,30.380166782120558,37.969984212292715,0.5057876073882059,0.9977016430622833,89.60468250688547,4.827255208207741,1.8303342664454348e-05
pm25:Shunyi,chronos,34734,79.79882949313983,22.177205204963684,31.63044014948645,0.3692196833421366,0.8311233929275399,74.64410654746065,1.3685427087087494,2.3949497402403114e-05
pm25:Shunyi,chronos_cov,34734,79.79882949313983,27.501008933259357,38.21486035211686,0.4578536256522823,1.0041360235898948,90.18256130293064,2.117305207927226,3.7052841138726464e-05
pm25:Tiantan,seasonal_naive,35032,82.04746041096378,85.08072916666667,105.0664300166099,1.4328296188148042,3.1077505328322412,269.9237915727451,0.0001578124890026326,5.983723541349819e-10
pm25:Tiantan,lgbm_direct,35032,82.04746041096378,25.639082521668467,32.547411637660396,0.4317832862518098,0.9627169767094852,83.61681988935301,5.357922916118696,2.031545772361672e-05
pm25:Tiantan,chronos,35032,82.04746041096378,16.253818949063618,23.897790715786947,0.27372771057768414,0.7068706133706002,61.395274201259035,1.266582811998281,2.2165199209969916e-05
pm25:Tiantan,chronos_cov,35032,82.04746041096378,25.145253977896925,39.38988657799569,0.4234668064676983,1.165109930751576,101.19566766542012,1.9941244790970813,3.489717838419892e-05
pm25:Wanliu,seasonal_naive,35044,83.46587297057847,88.11979166666667,111.04873596425698,1.475702165575752,3.508328840418906,320.64602308650785,0.0001057293654109041,4.0089051051634454e-10
pm25:Wanliu,lgbm_direct,35044,83.46587297057847,27.65976760462308,35.32368957785823,0.46320557710651616,1.115970549506236,101.99486275582797,5.146364583500447,1.951329904577253e-05
pm25:Wanliu,chronos,35044,83.46587297057847,15.257328828175863,21.533322278104755,0.2555075626802394,0.6802956820924615,62.176071545170515,1.5621984369621107,2.7338472646836933e-05
pm25:Wanliu,chronos_cov,35044,83.46587297057847,25.65228313868887,36.379963968519306,0.42958714567688977,1.1493411041188064,105.044786554714,2.079422395581787,3.6389891922681274e-05
pm25:Wanshouxigong,seasonal_naive,34952,85.08102317931107,91.02083333333333,112.49785363178829,1.4557960927902251,3.045557042452074,270.7054505239172,0.00010885408604129528,4.1273840957324456e-10
pm25:Wanshouxigong,lgbm_direct,34952,85.08102317931107,27.02778493333611,32.865997310419615,0.43228503038013527,0.8897527049145022,79.08599427999206,5.829504687426379,2.2103538606491687e-05
pm25:Wanshouxigong,chronos,34952,85.08102317931107,17.99046854178111,25.485662920810682,0.2877413098897549,0.689951298485061,61.32657326476565,1.5974739587060565,2.7955794277355983e-05
pm25:Wanshouxigong,chronos_cov,34952,85.08102317931107,27.121557404588742,40.439325356364726,0.4337848364383915,1.0947788615967529,97.30981913049288,2.4223651040908103,4.2391389321589176e-05
