city,tier,model,q,coverage,width
dhaka,scarce,chronos_cov,1.668187927674019,0.9861111111111112,3.336375855348038
dhaka,scarce,nas_gru,3.7984741210937507,1.0,7.596948242187501
hanoi,scarce,seasonal_naive,2.3999999999999986,0.9722222222222222,4.799999999999997
hanoi,scarce,lgbm_direct,0.9091849364432179,0.9861111111111112,1.8183698728864357
hanoi,scarce,chronos,2.8773963928222663,1.0,5.754792785644533
hanoi,scarce,chronos_cov,1.3829284370766928,0.9305555555555556,2.7658568741533855
hanoi,scarce,nas_gru,3.9135314941406243,1.0,7.827062988281249
jakarta,scarce,seasonal_naive,1.4000000000000021,0.9027777777777778,2.8000000000000043
jakarta,scarce,lgbm_direct,0.648294019499609,0.9444444444444444,1.296588038999218
jakarta,scarce,chronos,1.4997089385986335,1.0,2.999417877197267
jakarta,scarce,chronos_cov,0.8414390544528736,1.0,1.6828781089057472
jakarta,scarce,nas_gru,1.986166381835936,1.0,3.972332763671872
kampala,scarce,seasonal_naive,10.399999999999999,1.0,20.799999999999997
kampala,scarce,lgbm_direct,1.4885876880201607,1.0,2.9771753760403215
kampala,scarce,chronos,8.106200027465821,1.0,16.212400054931642
kampala,scarce,chronos_cov,1.8198556254388834,0.9027777777777778,3.6397112508777667
kampala,scarce,nas_gru,5.913906860351563,1.0,11.827813720703126
karachi,scarce,seasonal_naive,1.2000000000000028,1.0,2.4000000000000057
karachi,scarce,lgbm_direct,0.6067153211605145,0.9722222222222222,1.213430642321029
karachi,scarce,chronos,0.6539558410644517,0.8333333333333334,1.3079116821289034
karachi,scarce,chronos_cov,1.0637823802811823,0.9444444444444444,2.1275647605623647
karachi,scarce,nas_gru,1.6298156738281264,0.9583333333333334,3.259631347656253
krakow,rich,seasonal_naive,12.9,1.0,25.8
krakow,rich,lgbm_direct,3.015434127995573,0.9444444444444444,6.030868255991146
krakow,rich,chronos,2.1594950675964357,0.7916666666666666,4.3189901351928714
krakow,rich,chronos_cov,2.493500224980907,0.7638888888888888,4.987000449961814
krakow,rich,nas_gru,1.6659677386283875,0.5416666666666666,3.331935477256775
lagos,scarce,seasonal_naive,3.0,1.0,6.0
lagos,scarce,lgbm_direct,0.8525564019671599,0.9722222222222222,1.7051128039343197
lagos,scarce,chronos,1.0455951690673828,0.8194444444444444,2.0911903381347656
lagos,scarce,chronos_cov,0.5104663860596617,0.7361111111111112,1.0209327721193233
lagos,scarce,nas_gru,1.356579208374022,0.8888888888888888,2.713158416748044
lahore,scarce,seasonal_naive,4.200000000000001,1.0,8.400000000000002
lahore,scarce,lgbm_direct,2.773582871668797,0.9861111111111112,5.547165743337594
lahore,scarce,chronos,3.6348772048950195,1.0,7.269754409790039
lahore,scarce,chronos_cov,2.6669409492746077,0.9166666666666666,5.333881898549215
lahore,scarce,nas_gru,4.161316871643066,1.0,8.322633743286133
lima,scarce,seasonal_naive,3.8000000000000007,1.0,7.600000000000001
lima,scarce,lgbm_direct,0.678472215624458,1.0,1.356944431248916
lima,scarce,chronos,1.027500724792482,0.9861111111111112,2.055001449584964
lima,scarce,chronos_cov,0.7901854551301426,0.9861111111111112,1.5803709102602852
lima,scarce,nas_gru,1.0338489532470696,0.9027777777777778,2.067697906494139
los_angeles,rich,seasonal_naive,13.3,0.875,26.6
los_angeles,rich,lgbm_direct,3.836730658949584,1.0,7.673461317899168
los_angeles,rich,chronos,16.5893913269043,1.0,33.1787826538086
los_angeles,rich,chronos_cov,3.5146875474488315,0.9861111111111112,7.029375094897663
los_angeles,rich,nas_gru,8.862689971923828,1.0,17.725379943847656
madrid,rich,seasonal_naive,5.1,0.7916666666666666,10.2
madrid,rich,lgbm_direct,5.486851671185397,0.9722222222222222,10.973703342370793
madrid,rich,chronos,3.64968433380127,0.8611111111111112,7.29936866760254
madrid,rich,chronos_cov,7.828654120982169,0.9444444444444444,15.657308241964339
madrid,rich,nas_gru,3.9705682754516602,0.9861111111111112,7.9411365509033205
manila,scarce,seasonal_naive,2.3000000000000007,0.9444444444444444,4.600000000000001
manila,scarce,lgbm_direct,1.0223154554753968,0.9166666666666666,2.0446309109507936
