city,model_a,model_b,dm_stat,p_value,mean_loss_diff,better,significant_5pct
bogota,lgbm_direct,chronos,-7.174149108096568,4.701862985631436e-12,-0.4461166147775999,lgbm_direct,True
bogota,lgbm_direct,chronos_cov,-3.280960685362879,0.0011434196059694089,-0.26778164445476704,lgbm_direct,True
bogota,lgbm_direct,nas_gru,-12.208081125892626,1.3177857373888023e-28,-0.8690024610177797,lgbm_direct,True
bogota,chronos,chronos_cov,2.2417144914061056,0.025634055814420867,0.1783349703228328,chronos_cov,True
bogota,chronos,nas_gru,-5.95085488588398,6.722722603245727e-09,-0.4228858462401799,chronos,True
bogota,chronos_cov,nas_gru,-7.200627481333459,3.974951325548601e-12,-0.6012208165630126,chronos_cov,True
delhi,seasonal_naive,lgbm_direct,4.635192714449666,5.116268369369038e-06,4.132843355004903,lgbm_direct,True
delhi,seasonal_naive,chronos,3.8601119160665314,0.00013598749461108693,3.4206346523194084,chronos,True
delhi,seasonal_naive,chronos_cov,4.74707236592724,3.0628476319349366e-06,3.84181717568516,chronos_cov,True
delhi,seasonal_naive,nas_gru,3.039843563796896,0.0025533939716010103,2.10898228145781,nas_gru,True
delhi,lgbm_direct,chronos,-2.1975269089564913,0.02866689754395663,-0.7122087026854946,lgbm_direct,True
delhi,lgbm_direct,chronos_cov,-1.917528332847742,0.05602096812773673,-0.291026179319743,lgbm_direct,False
delhi,lgbm_direct,nas_gru,-6.864810632988222,3.238297149384427e-11,-2.023861073547093,lgbm_direct,True
delhi,chronos,chronos_cov,1.2022437065859475,0.2301182309835278,0.4211825233657515,chronos_cov,False
delhi,chronos,nas_gru,-3.3775029463053055,0.0008175696543784187,-1.3116523708615984,chronos,True
delhi,chronos_cov,nas_gru,-7.328861513391829,1.7516914769169345e-12,-1.7328348942273502,chronos_cov,True
dhaka,seasonal_naive,lgbm_direct,5.032374231498867,7.920741096755752e-07,2.4568648386735727,lgbm_direct,True
dhaka,seasonal_naive,chronos,3.8474270458155257,0.00014290565061436615,2.1575011639367965,chronos,True
dhaka,seasonal_naive,chronos_cov,4.705990514691798,3.702047654626827e-06,2.4599905090525676,chronos_cov,True
dhaka,seasonal_naive,nas_gru,4.461384044944796,1.1133371119825976e-05,2.159002209845043,nas_gru,True
dhaka,lgbm_direct,chronos,-2.0808564054974377,0.03820639965446361,-0.2993636747367764,lgbm_direct,True
dhaka,lgbm_direct,chronos_cov,0.03508795848040774,0.9720305008968353,0.0031256703789948577,chronos_cov,False
dhaka,lgbm_direct,nas_gru,-3.2874605022283614,0.0011181615860727824,-0.29786262882852954,lgbm_direct,True
dhaka,chronos,chronos_cov,2.144136139511124,0.032741255972550204,0.3024893451157712,chronos_cov,True
dhaka,chronos,nas_gru,0.012598779740384806,0.9899553936433132,0.0015010459082467978,nas_gru,False
dhaka,chronos_cov,nas_gru,-3.2714420763127112,0.001181365725674585,-0.30098829920752446,chronos_cov,True
hanoi,seasonal_naive,lgbm_direct,6.282732506328014,1.0338384311587089e-09,0.8981554795698227,lgbm_direct,True
hanoi,seasonal_naive,chronos,3.2633215444069816,0.0012146588304612434,0.6578105404263451,chronos,True
hanoi,seasonal_naive,chronos_cov,4.609149593694773,5.7571848011495775e-06,0.7767902350879125,chronos_cov,True
hanoi,seasonal_naive,nas_gru,1.8318784950202598,0.06785725131432012,0.2975868259157453,nas_gru,False
hanoi,lgbm_direct,chronos,-2.1635854154225367,0.031202755944100533,-0.24034493914347774,lgbm_direct,True
hanoi,lgbm_direct,chronos_cov,-2.0031270949682503,0.04596886153302631,-0.12136524448191047,lgbm_direct,True
hanoi,lgbm_direct,nas_gru,-6.8829478739599095,2.8967049907512972e-11,-0.6005686536540775,lgbm_direct,True
hanoi,chronos,chronos_cov,0.96226275619655,0.33661168212733916,0.11897969466156726,chronos_cov,False
hanoi,chronos,nas_gru,-3.821866266972954,0.0001578700561616934,-0.3602237145105998,chronos,True
hanoi,chronos_cov,nas_gru,-4.353978547113721,1.7786017553304237e-05,-0.479203409172167,chronos_cov,True
jakarta,seasonal_naive,lgbm_direct,3.1949810009973723,0.0015313490535245077,1.0673647259997041,lgbm_direct,True
jakarta,seasonal_naive,chronos,2.556346091077741,0.011018404196051759,0.7815946272441318,chronos,True
jakarta,seasonal_naive,chronos_cov,3.071886982648306,0.002301340805176324,1.0126264143920356,chronos_cov,True
jakarta,seasonal_naive,nas_gru,1.7457096202968043,0.08177818600512193,0.6134853680928549,nas_gru,False
jakarta,lgbm_direct,chronos,-4.301498037935137,2.2285923147540694e-05,-0.2857700987555723,lgbm_direct,True
jakarta,lgbm_direct,chronos_cov,-2.3567780562995506,0.019009363787412914,-0.0547383116076683,lgbm_direct,True
jakarta,lgbm_direct,nas_gru,-8.44357806702557,9.448507120100833e-16,-0.4538793579068493,lgbm_direct,True
jakarta,chronos,chronos_cov,3.5230665125267278,0.00048578227699105214,0.231031787147904,chronos_cov,True
jakarta,chronos,nas_gru,-1.980272044778131,0.048490805864292934,-0.168109259151277,chronos,True
jakarta,chronos_cov,nas_gru,-6.726263592618409,7.535318964358736e-11,-0.39914104629918107,chronos_cov,True
kampala,seasonal_naive,lgbm_direct,10.174593561617652,2.2902683512054695e-21,3.2485341849654636,lgbm_direct,True
kampala,seasonal_naive,chronos,6.977449232213939,1.6150567156942746e-11,2.204407908802941,chronos,True
kampala,seasonal_naive,chronos_cov,10.079513999973777,4.820473199365438e-21,3.1392984082819466,chronos_cov,True
kampala,seasonal_naive,nas_gru,7.646693599071284,2.2025932706443463e-13,2.298421868823824,nas_gru,True
kampala,lgbm_direct,chronos,-4.423216497248574,1.3163869215500032e-05,-1.044126276162523,lgbm_direct,True
kampala,lgbm_direct,chronos_cov,-1.740362131531757,0.08271369711237131,-0.1092357766835173,lgbm_direct,False
kampala,lgbm_direct,nas_gru,-4.090291694175013,5.401063413124779e-05,-0.9501123161416403,lgbm_direct,True
kampala,chronos,chronos_cov,3.737213811095785,0.00021870708265012077,0.9348904994790055,chronos_cov,True
kampala,chronos,nas_gru,0.8722857884467654,0.3836772411576188,0.09401396002088272,nas_gru,False
kampala,chronos_cov,nas_gru,-3.3430111246217207,0.0009224943305262168,-0.8408765394581229,chronos_cov,True
karachi,seasonal_naive,lgbm_direct,6.953516882219269,1.873586386089935e-11,0.28801637572930416,lgbm_direct,True
karachi,seasonal_naive,chronos,5.413460727254999,1.1808033066203942e-07,0.2946467183885121,chronos,True
karachi,seasonal_naive,chronos_cov,0.7128528396069154,0.47643305956371107,0.046170038342283136,chronos_cov,False
karachi,seasonal_naive,nas_gru,-5.309592847388207,2.005233102661964e-07,-0.2504136494227818,seasonal_naive,True
karachi,lgbm_direct,chronos,0.2161780938928122,0.828980501335632,0.0066303426592079695,chronos,False
karachi,lgbm_direct,chronos_cov,-5.550591535974697,5.7973347355809855e-08,-0.241846337387021,lgbm_direct,True
karachi,lgbm_direct,nas_gru,-10.962181502743835,4.22450455093163e-24,-0.538430025152086,lgbm_direct,True
karachi,chronos,chronos_cov,-5.699612396270753,2.6346186845388254e-08,-0.248476680046229,chronos,True
karachi,chronos,nas_gru,-9.54925985912618,2.857927835819753e-19,-0.545060367811294,chronos,True
karachi,chronos_cov,nas_gru,-4.328391043421338,1.9858951788310504e-05,-0.29658368776506494,chronos_cov,True
krakow,seasonal_naive,lgbm_direct,4.467908795302321,1.0817787226609131e-05,3.3680035531028394,lgbm_direct,True
krakow,seasonal_naive,chronos,4.251368888151364,2.7586440485053732e-05,3.1483664489218164,chronos,True
krakow,seasonal_naive,chronos_cov,4.152090231121537,4.184217632621065e-05,3.2328060641324896,chronos_cov,True
krakow,seasonal_naive,nas_gru,4.346704277476664,1.8353252582634003e-05,3.159032345512172,nas_gru,True
krakow,lgbm_direct,chronos,-0.959615887771978,0.3379406415169669,-0.21963710418102286,lgbm_direct,False
krakow,lgbm_direct,chronos_cov,-0.9630431856928967,0.33622048371398183,-0.13519748897035028,lgbm_direct,False
krakow,lgbm_direct,nas_gru,-0.9622590727123953,0.3366135292091337,-0.20897120759066726,lgbm_direct,False
krakow,chronos,chronos_cov,0.35727786146484447,0.7211087675047103,0.08443961521067261,chronos_cov,False
krakow,chronos,nas_gru,0.04697502088854537,0.9625611269250187,0.01066589659035561,nas_gru,False
